SubstanceID	Canc2_1	gen	non gen	Ind_Canc	Ind_Non_Genotox	Product					
1	3	3		1	0	0					
2	1	3		0	0	0					
3	1	3		0	0	0					
4	3	3		1	0	0					
5	3			1	1	1					
6	3	3		1	0	0					
7	3	3		1	0	0				use	
8	3	3		1	0	0				cacn2_1 = 3	and
9	3			1	1	1				Gen != 3	
10	3	3		1	0	0					
11	3	3		1	0	0					
12	3			1	1	1					
13	3	3		1	0	0					
14	3		3	1	1	1					
15	3	3		1	0	0					
16	3			1	1	1					
17	1			0	1	0					
18	3			1	1	1					
19	3	3		1	0	0					
20	3	3		1	0	0					
21	1			0	1	0					
22	3	3		1	0	0					
23	1			0	1	0					
24	3	3		1	0	0					
25	3	3		1	0	0					
26	3	3		1	0	0					
27	3	3		1	0	0					
28	3	3		1	0	0					
29	3	3		1	0	0					
30	1			0	1	0					
31	1			0	1	0					
32	3	3		1	0	0					
33	3	3		1	0	0					
34	3	3		1	0	0					
35	3			1	1	1					
36	3			1	1	1					
37	3			1	1	1					
38	1			0	1	0					
39	3	3		1	0	0					
40	3	3		1	0	0					
41	3			1	1	1					
42	1		3	0	1	0					
43	3	3		1	0	0					
44	3	3		1	0	0					
45	3	3		1	0	0					
46	3	3		1	0	0					
47	3	3		1	0	0					
48	3	3		1	0	0					
49	3	3		1	0	0					
50	3	3		1	0	0					
51	3	3		1	0	0					
52	3			1	1	1					
53	3			1	1	1					
54	3	3		1	0	0					
55	3			1	1	1					
56	3	3		1	0	0					
57	1		3	0	1	0					
58	3	3		1	0	0					
59	3			1	1	1					
60	3			1	1	1					
61	3	3		1	0	0					
62	3	3		1	0	0					
63	3	3		1	0	0					
64	3	3		1	0	0					
65	3		3	1	1	1					
66	3	3		1	0	0					
67	3	3		1	0	0					
68	3			1	1	1					
69	3	3		1	0	0					
70	3			1	1	1					
71	3			1	1	1					
72	3			1	1	1					
73	1			0	1	0					
74	1			0	1	0					
75	1			0	1	0					
76	1			0	1	0					
77	3			1	1	1					
78	1			0	1	0					
79	1	3		0	0	0					
80	1	3		0	0	0					
81	1			0	1	0					
82	1			0	1	0					
83	1			0	1	0					
84	1	3		0	0	0					
85	1			0	1	0					
86	1			0	1	0					
87	1			0	1	0					
88	1			0	1	0					
89	1	3		0	0	0					
90	1	3		0	0	0					
91	1			0	1	0					
92	1			0	1	0					
93	1			0	1	0					
94	1		3	0	1	0					
95	1	3		0	0	0					
96	1			0	1	0					
97	1			0	1	0					
98	1			0	1	0					
99	1			0	1	0					
100	1	3		0	0	0					
101	1	3		0	0	0					
102	1			0	1	0					
103	1	3		0	0	0					
104	1		3	0	1	0					
105	1	3		0	0	0					
106	1			0	1	0					
107	3			1	1	1					
108	1			0	1	0					
109	1	3		0	0	0					
110	1	3		0	0	0					
111	1			0	1	0					
112	3	3		1	0	0					
113	1			0	1	0					
114	1	3	3	0	0	0					
115	1		3	0	1	0					
116	1	3		0	0	0					
117	1			0	1	0					
118	1			0	1	0					
119	1	3		0	0	0					
120	1			0	1	0					
121	1			0	1	0					
122	1	3		0	0	0					
123	1			0	1	0					
124	1			0	1	0					
125	1	3		0	0	0					
126	1	3		0	0	0					
127	1	3		0	0	0					
128	1			0	1	0					
129	1			0	1	0					
130	1			0	1	0					
131	1	3		0	0	0					
132	1			0	1	0					
133	1	3		0	0	0					
134	1		3	0	1	0					
135	1			0	1	0					
136	1			0	1	0					
137	1			0	1	0					
138	1			0	1	0					
139	1	3		0	0	0					
140	1		3	0	1	0					
141	1	3		0	0	0					
142	1			0	1	0					
143	1	3		0	0	0					
144	1			0	1	0					
145	1			0	1	0					
146	3	3		1	0	0					
147	3	3		1	0	0					
148	3	3		1	0	0					
149	3		3	1	1	1					
150	3	3		1	0	0					
151	3	3		1	0	0					
152	3	3		1	0	0					
153	3	3		1	0	0					
154	1	3		0	0	0					
155	3	3		1	0	0					
